EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010709908,HOGARES AMPARO INC,% CARMEN M CRUZ RIVERA,800 HIOODROMO ST STE 105,SAN JUAN,PR,00909-0000,0000,03,3,1000,200407,1,04,000000000,1,01,201406,1,0,00,1,06,2492,0,,P43,
042622178,BRIGHTWOOD DEVELOPMENT CORP,,DE DIEGO 14,MAYAGUEZ,PR,00680-0000,0000,03,3,1000,197907,1,15,123406380,1,01,201412,7,6,01,0,12,5611335,1553270,1553270,S310,
043700254,IGLESIA EVANGELICA MISIONERA FUERZA AGAPE,% ROBERT RANSOM,PO BOX 580,SAN ANTONIO,PR,00690-0580,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
060602997,TITI MILLIE DAY CARE INC,,PO BOX 1347,GUANICA,PR,00653-1347,0000,03,3,1000,200206,1,15,000000000,1,01,201509,3,4,01,0,09,71407,288554,288554,P33,
113503195,SAAC CORP,% SIGFREDO AQUADO DE LA CRUZ,1357 AVE ASHFORD PMB 379,SAN JUAN,PR,00907-1400,0000,03,3,1000,200504,1,15,000000000,1,01,201412,1,0,02,0,12,1,0,0,L20,
133779420,SOCIEDAD ECONOMICA DE AMIGOS DEL PAIS INC,% C/O CORP,208 AVE PONCE DE LEON STE 1020,SAN JUAN,PR,00918-1040,0000,03,3,1000,199604,1,15,994120481,1,01,201412,3,4,01,0,12,86515,275000,275000,R40,
166077141,MYCOLOGICAL SOCIETY OF AMERICA THE,% SHARON A CANTRELL,PO BOX 3030,GURABO,PR,00778-3030,0000,03,3,8000,196504,1,16,161180000,5,01,201412,6,5,01,0,12,1464025,531801,531801,,
223275938,PADMASAMBHAVA BUDDHIST CENTER OF PUERTO RICO,% NESTOR KUILAN,1453 ALFONSO AVE,ALTAMIRA RIO PIEDROS,PR,00921-0000,9243,03,9,7000,199209,1,10,001029123,5,01,,0,0,06,0,12,,,,,
223480547,IGLESIA PENTECOSTAL VIDA Y VERDAD DE LAS ASAMBLEAS DE DIOS,% BARBARA NIEVES,PO BOX 2877,GUAYAMA,PR,00785-2877,1678,03,9,7000,196408,1,10,001002029,5,01,,0,0,06,0,12,,,,,
237034732,FAMILIES PLANNING ASSOCIATION OF PUERTO RICO,,PO BOX 192379,SAN JUAN,PR,00919-2379,0000,03,3,1200,195709,1,15,602059000,5,01,201412,6,6,01,0,12,3959651,2937208,2937208,,
237050819,ARNOLD AIR SOCIETY-SILVER WINGS,% UNIV OF PUERTO RICO MAYAGUEZ,BOX 5171 BAMBU STREET,MAYAGUEZ,PR,00681-0000,1224,04,9,3000,197001,2,00,059000000,5,01,201505,0,0,02,0,05,0,0,0,,756 AFROTC DET
237056835,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% JOMAR GONZALEZ-BERNARD,286 NUNEZ PRIETO VILLA PALMERAS,SAN JUA,PR,00915-0000,0239,04,9,3000,197104,2,00,279319000,5,01,201206,0,0,02,0,06,0,0,0,,14488 SABANA LLANA LIONS CLUB
237057588,TAU BETA PI ASSOCIATION INC,% LIONEL ORAMA-EXCLUSA,CALL BOX 9000,MAYAGUEZ,PR,00681-0000,0782,07,9,1000,197003,2,00,059319000,5,01,201505,0,0,02,0,05,0,0,0,,PUERTO RICO ALPHA CHAPTER
237060470,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,% ROSA C RODRIGUEZ,235 FEDERICO COSTA ST,SAN JUAN,PR,00918-1341,0194,05,9,3000,194010,2,00,263264279,5,01,201412,0,0,02,0,12,0,0,0,,2837 AFGE-HUD LOCAL
237069724,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,% JORGE W BETANCOURT,216 CALLE BROMELIA,CAROLINA,PR,00987-8732,0194,05,9,3000,194010,2,00,263269265,5,01,201212,0,0,02,0,12,0,0,0,,2951 LOCAL AFGE SBA
237071078,ALPHA PHI OMEGA,% NONE,PO BOX 643,LAS MARIAS,PR,00670-0643,1113,03,9,1000,196606,1,16,036000000,5,01,201412,0,0,02,0,12,0,0,0,P20,UPSLN MU
237094624,UNITED STEELWORKERS,% VICTOR TIRADO,PO BOX 190868,SAN JUAN,PR,00919-0868,0260,05,9,3000,197107,2,00,263264279,5,01,201412,0,0,02,0,12,0,0,0,,07797 LOCAL
237116709,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% CARMEN CARDONA /CLUB DE LEONES,DD16 CALLE E,LUQUILLO,PR,00773-2629,0239,04,9,3000,197104,2,00,279319000,5,01,201406,0,0,02,0,06,0,0,0,,14470 LUQUILLO LIONS CLUB
237116743,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% CARMEN ORTIZ-OLIVEN,451 CALLE PEDRO ESPADA,SAN JUAN,PR,00918-2837,0239,04,9,3000,197104,2,00,279319000,5,01,201506,1,1,02,0,06,517,1225,1225,,14431 SANTURCE LIONS CLUB
237128019,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% JOSE E CRUZ,PO BOX 2302,ARECIBO,PR,00613-2302,0239,04,9,3000,197109,2,00,279319000,5,01,201506,0,0,02,0,06,0,0,0,,14377 ARECIBO CAPITAN CORREA LIONS
237157589,FUTURE BUSINESS LEADERS OF AMERICA PHI BETA LAMBDA INC,% MYRNA GARCIA,PO BOX 190759,SAN JUAN,PR,00919-0759,2205,03,9,2000,197110,1,16,059200205,5,01,,0,0,02,0,06,,,,,PUERTO RICO CHAPTER
237176806,UNITED STEELWORKERS,% KEILA LOPEZ,PO BOX 727,BAYAMON,PR,00960-0727,0260,05,9,3000,194012,2,00,263059269,5,01,201412,4,4,01,0,12,216418,130365,130365,,06135 LOCAL
237208610,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN INC,% JOANNE MARTI,PARQUE DE BUCARE B-2 BROMELIA,GUAYNABO,PR,00969-0000,5649,04,9,3000,201003,2,00,161180059,5,01,201406,0,0,02,0,06,0,0,0,B82O,SAN JUAN
237247277,SOUTHEASTERN MENNONITE CONFERENCE INC,,HC 1 BOX 3321,FLORIDA,PR,00650-9506,0000,03,3,7000,197308,1,10,001000000,1,01,,0,0,06,0,06,,,,,
237259899,INTEGRAL DE LOIZA CONCILIODE SALUD,,PO BOX 509,LOIZA,PR,00772-0509,0000,03,3,1000,197312,1,15,998000000,1,01,201406,8,8,01,0,06,27732586,27710612,27710612,,
237282006,DISABLED AMERICAN VETERANS,% DISABLED AMERICAN VETERANS,PO BOX 5336,CAGUAS,PR,00726-5336,0000,04,3,1000,201205,1,00,264927160,5,01,201506,0,0,02,0,06,0,0,0,,5 CAQUAS
237282007,DISABLED AMERICAN VETERANS,% AGUSTIN BURGOS,PO BOX 6775,MAYAGUEZ,PR,00681-6775,0557,04,9,3000,194206,1,00,908279265,5,01,201506,0,0,02,0,06,0,0,0,,6 MAYAGUEZ
237282008,DISABLED AMERICAN VETERANS,% JUAN LOZANO-NIEVES,HC 1 BOX 4105,NAGUABO,PR,00718-9751,0557,04,9,3000,194206,1,00,908279265,5,01,201506,0,0,02,0,06,0,0,0,,7 FAJARDO
237282009,DISABLED AMERICAN VETERANS,% JIMMY DE LUCCA,PO BOX 226,ARROYO,PR,00714-0226,0557,04,9,3000,194206,2,00,264927160,5,01,201506,0,0,02,0,06,0,0,0,,8 ARROYO
237282012,DISABLED AMERICAN VETERANS,% JOSE L BABILONIA-HESS,7 CALLE LOS ANGELES,ARECIBO,PR,00612-5479,0557,04,9,3000,194206,1,00,264927160,2,01,201506,0,0,02,0,06,0,0,0,W24,11 SERGEANT AMADEO BERMUDEZ
237283277,CARIBBEAN CHRISTIAN CRUSADE INC,% DIANA MUNOZ,18 CALLE SOLIMAR,MAYAGUEZ,PR,00680-8300,0000,03,3,1230,197305,1,16,029059000,1,01,201412,0,0,02,0,12,0,0,0,,
237320915,UNITED STEELWORKERS,% PALMIRA TORRES,PO BOX 6686,PONCE,PR,00733-0000,0260,05,9,3000,194012,2,00,263264279,5,01,201412,0,0,02,0,12,0,0,0,,08198 LOCAL
237322865,ALPHA PI MU ASSOCIATION,% MAYRA MENDEZ,PO BOX 9000,MAYAGUEZ,PR,00681-9000,1085,03,9,2000,199401,2,16,036000000,5,01,201412,0,0,02,0,12,0,0,0,,PUERTO RICO CHAPTER
237352551,DISABLED AMERICAN VETERANS,% IDALIS M MARQUEZ,PO BOX 363304,SAN JUAN,PR,00936-3304,0557,04,9,3000,194206,1,00,264927160,5,01,201506,4,3,01,0,06,215449,70742,70742,,DEPT OF PUERTO RICO
237360501,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA,% MRS MARCELLE LEVY SHUB,1977-D FIDALGO DIAZ ST CALDAS F,RIO PIEDRAS,PR,00926-0000,0636,03,9,1000,194308,1,15,059000000,5,01,,0,0,01,0,12,,,,,18-608-000 90000314 PUERTO RICO
237409172,CARIBBEAN UNIVERSITY,,PO BOX 493,BAYAMON,PR,00960-0493,0000,03,3,2000,197411,1,11,030059149,1,01,201406,9,8,01,0,06,51256715,26451630,26451630,,
237429707,DISABLED AMERICAN VETERANS,% PEDRO DELEON,PO BOX 1281,PATILLAS,PR,00723-1281,0557,04,9,3000,194206,1,00,908279265,5,01,201506,0,0,02,0,06,0,0,0,W30,13 PFC I S PLAUD
237442980,ISRAEL RODRIGUEZ EVANGELISTIC ASSOCIATION INC,,PO BOX 41142,SANTURCE,PR,00940-1142,0000,03,3,7000,197503,1,10,001000000,1,02,,0,0,06,0,12,,,,,
237457205,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,% RICARDO RODRIGUEZ,PO BOX 583,FLORIDA,PR,00650-0583,0194,05,9,3000,194010,2,00,263264265,5,01,201512,0,0,02,0,12,0,0,0,,3408 AFGE-USDA LOCAL
237545453,KNIGHTS OF COLUMBUS,% CORTES DIAZ,PO BOX 10294,CAPARRA HEIGHTS,PR,00922-0294,0188,08,9,1000,194010,1,00,036029265,5,01,201212,1,1,02,0,12,1,1200,1200,,4468 FRAV BARTOLOME DE LAS CASAS
237576728,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SOUTHERN JURISDICTION,,JARDINES DE AROYO 0-26 CALLE P,ARROYO,PR,00714-0000,0095,10,9,1000,197210,1,00,030059902,5,01,,0,0,02,0,12,,,,,VALLEY OF CAYEY
237576729,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA,% CARLOS R RIOS-HERNANDEZ,PO BOX 1002,FAJARDO,PR,00738-1002,0095,10,9,1000,197210,1,00,030059902,5,01,,0,0,02,0,12,,,,,VALLEY OF HUMACAO
237576731,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA,% ANTONIO SOTO S,PO BOX 931,MAYAGUEZ,PR,00681-0931,0095,10,9,1000,197210,1,00,030059902,5,01,,0,0,02,0,12,,,,,VALLEY OF MAYAGUEZ
